Actor,Movies
Abhijeet Shirish Deshpande,"['Wazir', 'Class of 83', 'Antim: The Final Truth', 'सिटी ऑफ़ गोल्ड', 'City of Gold', 'Shaitan', 'Table No.21', 'हर हर महादेव', 'Shootout at Wadala', 'David', 'नटसम्राट', 'FU: Friendship Unlimited']"
Amitabh Bachchan,"['Wazir', 'Chehre', 'Gulabo Sitabo', 'AB Aani CD', 'Runway 34', 'Teen Patti', 'Ganapath', 'Goodbye', 'Rann', 'Uunchai', 'Bol Bachchan', 'आरक्षण', 'Bhuddah Hoga Tera Baap', 'Fakt Mahilao Maate', 'Leader', 'महाभारत', 'Bhoothnath Returns', 'Piku', 'Shamitabh', 'Ki & Ka', 'Te3n', 'The Warrior Prince: Sourav Ganguly', 'Pink', 'Sarkar 3', 'बेग़म जान', 'Aankhen 2', 'Thugs of Hindostan', 'ब्रह्मास्त्र पहला भाग: शिवा', '102 Not Out', 'Sye Raa Narasimha Reddy', 'Badla', 'झुंड']"
Farhan Akhtar,"['Wazir', 'Toofaan', 'Phone Bhoot', 'Don 2', 'कार्तिक कालिंग कार्तिक', 'Karthik Calling Karthik', 'Hello Charlie', 'Zindagi Na Milegi Dobara', 'Game', 'Zakhmee', 'तलाश', 'Dhuan', 'B.M.B', 'Bhaag Milkha Bhaag', 'Gully Boy', 'Fukrey 3', 'Fukrey', 'Shaadi Ke Side/Effects', 'Raees', 'Bangistan', 'Dil Dhadakne Do', '3 Storeys', 'Kal Jisne Dekha', 'Baar Baar Dekho', 'Lucknow Central', 'Gold', 'Fukrey Returns', 'The Sky Is Pink', 'Sharmaji Namkeen']"
Aditi Rao Hydari,"['Wazir', 'Sufiyum Sujatayum', 'Sardar Ka Grandson', 'V', 'Hey Sinamika', 'Maha Samudram', 'Dil Dar Badar', 'Sali Zindagi', 'London Paris New York', 'Murder 3', 'The Legend of Michael Mishra', 'काट्र वेलियिडइ', 'Padmaavat', 'Bhoomi', 'Sammohanam', 'The Girl on the Train', 'Psycho']"
John Abraham,"['Wazir', 'Mumbai Saga', 'सत्यमेव जयते २', 'Bhoomi', 'Sardar Ka Grandson', 'Ruler', 'Yaadhum Oore Yaavarum Kelir', 'Ek Villain Returns', 'पठान', 'Feroz Pathaan', 'Jhootha Hi Sahi', 'Iswarya Murugan', 'Race 2', 'Tara vs Bilal', 'Mike', 'Ek Batta Saat', 'Saat Khoon Maaf', 'Tariq', 'Housefull 2', 'Desi Boyz', 'Force', 'I, Me Aur Main', 'Shootout at Wadala', 'Vicky Donor', 'Jaffna', 'Welcome Back', 'Rocky Handsome', 'Dishoom', 'Force 2', 'Parmanu', 'Attack', 'Satyameva Jayate', 'सविता दामोदर परांजपे', 'RAW', 'Romeo. Akbar. Walter.', 'Maha', 'Batla House', 'Adho Andha Paravai Pola', 'Pagalpanti']"
Bejoy Nambiar,"['Wazir', 'Taish', 'Shaitan', 'David', 'Pizza', 'Solo', 'Karwan', 'Dobaara']"
Vidhu Vinod Chopra,"['Wazir', 'Shikara', 'Ferrari Ki Sawaari', 'PK', 'Sanju', 'Ek Ladki Ko Dekha Toh Aisa Laga']"
Abhijat Joshi,"['Wazir', 'Shikara', 'Dunki', 'Nanban', 'PK', 'Sanju']"
Natasha Sahgal,"['Wazir', 'David']"
Shubhra Swarup,['Wazir']
John Lau,['5/25/1977']
