Actor,Movies
Yoshiki Takahashi,['Cold Fish']
Yoshinori Chiba,"['Cold Fish', 'Guilty of Romance']"
Toshiki Kimura,"['Cold Fish', 'Love Disease']"
Tomohide Harada,"['Cold Fish', 'I am Ichihashi: Journal of a Murderer', 'The Virgin Psychics']"
Jenna Elfman,['Friends with Benefits']
Harley Peyton,['Friends with Benefits']
Ayaan Ahmad,['Ada']
Ayesha Jhulka,"['Ada', 'Genius']"
Rahul Roy,"['Ada', 'Orchestra Mysuru', 'Smile Hearts']"
Nauheed Cyrusi,['Ada']
Tanvir Ahmad,['Ada']
Tanvir Ahmed,['Ada']
Raqueeb Alam,['Ada']
Nusrat Badr,['Ada']
Kazaan Ahmad,['Ada']
Tutul,['कजरारे']
Sara Loren,"['कजरारे', 'Murder 3', 'Barkhaa', 'Fraud Saiyyan']"
Amrita Singh,"['कजरारे', '2 States', 'Badla']"
Mahesh Bhatt,"['कजरारे', 'Murder 2', 'मर्डर 2', 'Judaa Hoke Bhi', 'राज़ 3', 'Aashiqui 2', 'आशिक़ी 2', 'Jism 2', 'Blood Money', 'Murder 3', 'Ab Dilli Dur Nahin', 'Hamari Adhuri Kahani', 'The Silent Heroes', 'Love Games', 'लव गेम्स', 'कागज़ की कश्ती', 'Sadak 2', 'The Dark Side of Life: Mumbai City']"
Shagufta Rafique,"['कजरारे', 'Murder 2', 'मर्डर 2', 'राज़ 3', 'Aashiqui 2', 'आशिक़ी 2', 'Jism 2', 'Ankur Arora Murder Case', 'Hamari Adhuri Kahani', 'Nee Jathaga Nenundali', 'Mr. X', 'Alone']"
Bhupendra Ghiya,['Musaa']
Akhilendra Mishra,"['Musaa', 'सुर्या', 'Dedh Lakh Ka Dulha', 'Anjaniputra', 'Love Trainning']"
Himanshu Bhatt,['Musaa']
Ayub M. Khan,['Musaa']
Sunil Akhtar,['Musaa']
Ibrahim Ashq,['Musaa']
Tapan Bhatt,['Musaa']
Rikkee,['Swaha']
Manoylo Svitlana,['Swaha']
Ishrat Ali,['Swaha']
Jiten Mukhi,"['Swaha', 'Main Raj Kapoor Ho Gaya']"
Praveen Bhardwaj,['Swaha']
Vinay Kapadia,['Swaha']
Ravikant Reddy,['Swaha']
Chirag Singh,['Swaha']
Sara Paxton,"['Shark Night 3D', 'All Relative']"
Dustin Milligan,"['Shark Night 3D', 'Demonic']"
Chris Carmack,['Shark Night 3D']
Katharine McPhee,['Shark Night 3D']
David R. Ellis,['Shark Night 3D']
Will Hayes,['Shark Night 3D']
Jesse Studenberg,['Shark Night 3D']
Chris Briggs,"['Shark Night 3D', 'I Remember You']"
Mike Fleiss,['Shark Night 3D']
Victor Glynn,['Fuzabol']
Gabriel Almirón,['Fuzabol']
Federico Cecere,['Fuzabol']
Ezequiel Cipols,['Fuzabol']
Luciana Falcón,['Fuzabol']
Juan José Campanella,"['Fuzabol', 'Secret in Their Eyes']"
Gastón Gorali,['Fuzabol']
Axel Kuschevatzky,"['Fuzabol', 'At the End of the Tunnel', 'The Red Thread', '4x4']"
Roberto Fontanarrosa,['Fuzabol']
Bob Layton,['Bloodshot']
Eiza González,"['Bloodshot', 'Baby Driver', 'Ambulance', 'Paradise Hills', 'I Care a Lot']"
Sam Heughan,"['Bloodshot', 'SAS: Red Notice']"
Toby Kebbell,"['Bloodshot', 'A Monster Calls', 'The Angel', 'Destroyer']"
Dave Wilson,['Bloodshot']
Kevin VanHook,['Bloodshot']
Don Perlin,['Bloodshot']
Izán Corchero,['Intruders']
Juan Carlos Fresnadillo,['Intruders']
Nicolás Casariego,['Intruders']
Belén Atienza,"['Intruders', 'The Impossible', 'A Monster Calls', 'Toro', 'Jurassic World: Dehsheth Mein Saltanat', 'Jurassic World: Fallen Kingdom', 'Marrowbone']"
Rowan Atkinson,"['Johnny English Reborn', 'Johnny English Strikes Again']"
Roger Barclay,['Johnny English Reborn']
Oliver Parker,['Johnny English Reborn']
Joshua L. Eady,['Privileged']
Bayo Alawiye,['Privileged']
Manvel Biggs,['Privileged']
Chanel Brown,['Privileged']
Ginny Cipolla,['Privileged']
Aderonke Moyinlorun,['Privileged']
Gbenga Afolabi,['Privileged']
Daniel Kolajo,['Privileged']
Olusola Adeaga,['Privileged']
Travis Cure,"['Privileged', 'Entanglement']"
Haipeng Sun,['I Am What I Am']
Zelin Li,['I Am What I Am']
Miao Zhang,['I Am What I Am']
Ye Xiang,['I Am What I Am']
Ana Mayo,['Maximum Shame']
Ignasi Vidal,['Maximum Shame']
Paco Moreno,['Maximum Shame']
Carlos Atanes,['Maximum Shame']
Marc Álvarez,['Maximum Shame']
Albert Pons,['Maximum Shame']
Saptha Pavoor,"['Tanuja', 'Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai']"
Vishweshwara Bhat,['Tanuja']
Girish Rangakahale,['Tanuja']
Harish M.D. Halli,['Tanuja']
L. Mohan,"['Tanuja', 'Cocktail']"
R.B. Umesh,['Tanuja']
Arundhathi,['Mumbai Ki Kiran Bedi']
Abhishek Vinod,['Mumbai Ki Kiran Bedi']
Sundarra Elangovan,['Mumbai Ki Kiran Bedi']
A.S. Muthamizh,['Mumbai Ki Kiran Bedi']
V. Selvaganesh,"['Mumbai Ki Kiran Bedi', 'Vennila Kabaddi Kuzhu 2']"
Sri Ranjanrao,['Mumbai Ki Kiran Bedi']
Hiroyuki Sawano,"['Bubble', 'Attack on Titan: The Wings of Freedom', 'Attack on Titan: The Roar of Awakening', 'The Seven Deadly Sins: Prisoners of the Sky']"
Jun Shison,['Bubble']
riria.,['Bubble']
Gen Urobuchi,['Bubble']
Renji Ooki,['Bubble']
Naoko Satou,['Bubble']
Jeff Groth,"['Project X', 'Entourage']"
Oliver Cooper,"['Project X', 'Burying the Ex']"
Jonathan Daniel Brown,['Project X']
Dax Flame,['Project X']
Nima Nourizadeh,"['Project X', 'American Ultra']"
Ken Seng,['Project X']
Sooraj E.S.,"['Four', 'Mei Hoom Moosa', 'Ben', 'Ittymaani: Made in China', 'Aadya Rathri', 'Mask']"
Sunil Hanif,"['Four', 'Mask']"
Vyshak Perumana,"['Four', 'Body God']"
Venu Gopalakrishnan,['Four']
Dilber Koyuncu,['बंदिरमा मिसाइल क्लब']
Alina Boz,['बंदिरमा मिसाइल क्लब']
Deniz Can Aktas,['बंदिरमा मिसाइल क्लब']
Erkan Kolçak Köstendil,"['बंदिरमा मिसाइल क्लब', 'Heartsong']"
Asli Bekiroglu,['बंदिरमा मिसाइल क्लब']
Ömer Faruk Sorak,['बंदिरमा मिसाइल क्लब']
Mert Dikmen,['बंदिरमा मिसाइल क्लब']
Ayberk Olgay,['बंदिरमा मिसाइल क्लब']
Mustafa Uslu,"['बंदिरमा मिसाइल क्लब', 'Ayla: The Daughter of War']"
Yildiray Gürgen,"['बंदिरमा मिसाइल क्लब', 'The Miracle', 'Water and Fire', 'Mr. Kabir', 'Sadece sen', 'THE LAST GAME', 'The Miracle 2: Love', 'Mehmet the Warrior']"
Carrie Morgan Glassman,['Resisting Roots']
Elizabeth Posey,['Resisting Roots']
Lou Ferrigno Jr.,"['Resisting Roots', 'Nightshade']"
Kim Sandwich,['Resisting Roots']
Jennifer Bowles,['Resisting Roots']
Louise Alston,['Resisting Roots']
Audrey Carlan,['Resisting Roots']
Esther Goodstein,"['Resisting Roots', 'Adventures Into the Woods: A Sexy Musical']"
Emily Rice,['Resisting Roots']
Mariah Goodie,['Red Flags']
Callmechoko Bruce Zelaya,['Red Flags']
Ravyn Rochelle,['Red Flags']
Carl Clark,['Red Flags']
Shannon Washington,['Red Flags']
Adrian Cole,['Red Flags']
Andy Jovanny Canales,['Red Flags']
Justin Kelly Dunlop,['Red Flags']
Shaun Lang,['Dangerous Game: The Legacy Murders']
Jon Voight,['Dangerous Game: The Legacy Murders']
Laura Mennell,['Dangerous Game: The Legacy Murders']
Brian Buccellato,['Dangerous Game: The Legacy Murders']
Charles Cooper,['Dangerous Game: The Legacy Murders']
Adam Sliwinski,['Dangerous Game: The Legacy Murders']
Flavia de Souza,['Aftershock']
Helena Grant,['Aftershock']
Twila Miles,['Aftershock']
Neel Shah,['Aftershock']
Paula Eiselt,['Aftershock']
Tonya Lewis Lee,['Aftershock']
Chanda Dancy,['Aftershock']
Michael Crommett,['Aftershock']
Kerwin DeVonish,['Aftershock']
Jenni Morello,['Aftershock']
Rhiannon Giddens,['Descendant']
Theodore Arthur,['Descendant']
Gary Autrey,['Descendant']
Chris Davis,"['Descendant', 'Unfriended: Dark Web']"
Joycelyn Davis,['Descendant']
Margaret Brown,['Descendant']
Kern Jackson,['Descendant']
Essie Chambers,['Descendant']
Ray Angry,['Descendant']
Zach Staenberg,"['इन टाइम', 'In Time']"
Craig Armstrong,"['इन टाइम', 'In Time', 'Victor Frankenstein', 'Me Before You', 'Mrs. Lowry and Son']"
Walter Murphy,"['Ted', 'Ted 2', 'Queen Bees']"
Seth MacFarlane,"['Ted', 'A Million Ways to Die in the West', 'Ted 2', 'Sing']"
Alec Sulkin,"['Ted', 'A Million Ways to Die in the West', 'Ted 2']"
Wellesley Wild,"['Ted', 'A Million Ways to Die in the West', 'Ted 2']"
John Jacobs,"['Ted', 'Ted 2', 'The Boy Next Door']"
Sheila Francisco,['Leonor Will Never Die']
Bong Cabrera,['Leonor Will Never Die']
Rocky Salumbides,['Leonor Will Never Die']
Martika Ramirez Escobar,['Leonor Will Never Die']
Mario Cornejo,['Leonor Will Never Die']
Monster Jimenez,['Leonor Will Never Die']
Alyana Cabral,['Leonor Will Never Die']
Pan de Coco,['Leonor Will Never Die']
Salik Rehman,['All That Breathes']
Mohammad Saud,['All That Breathes']
Nadeem Shehzad,['All That Breathes']
Shaunak Sen,['All That Breathes']
Teddy Leifer,['All That Breathes']
Aman Mann,"['All That Breathes', 'The Underbug']"
Roger Goula,"['All That Breathes', 'Killers Anonymous']"
Ben Bernhard,['All That Breathes']
Anicka Vikhraman,['IKK']
Radhakrishnan,"['IKK', 'The Legend of Michael Mishra']"
Manikumaran Sankara,['IKK']
Rhiana Gunn-Wright,['To the End']
Alexandria Ocasio-Cortez,['To the End']
Varshini Prakash,['To the End']
Alexandra Rojas,['To the End']
Rachel Lears,['To the End']
Robin Blotnick,['To the End']
Sabrina Schmidt Gordon,['To the End']
Ray Whitehouse,['To the End']
Tangãi Uru-eu-wau-wau,['The Territory']
Neidinha Bandeira,['The Territory']
Bitaté Uru Eu Wau Wau,['The Territory']
Alex Pritz,['The Territory']
Lizzie Gillett,['The Territory']
Will N. Miller,['The Territory']
Gabriel Uchida,['The Territory']
Katya Mihailova,['The Territory']
Lizzy Goodman,['Meet Me in the Bathroom']
Ryan Adams,"['Meet Me in the Bathroom', 'Danny Collins']"
Julian Casablancas,['Meet Me in the Bathroom']
Brian Chase,['Meet Me in the Bathroom']
Kimya Dawson,['Meet Me in the Bathroom']
Will Lovelace,['Meet Me in the Bathroom']
Dylan Southern,['Meet Me in the Bathroom']
Andrew Cross,['Meet Me in the Bathroom']
Vivienne Perry,['Meet Me in the Bathroom']
Sam Rice-Edwards,['Meet Me in the Bathroom']
Toaster,['We Met in Virtual Reality']
Dust Bunny,['We Met in Virtual Reality']
DragonHeart,['We Met in Virtual Reality']
DylanP,['We Met in Virtual Reality']
IsYourBoi,['We Met in Virtual Reality']
Joe Hunting,['We Met in Virtual Reality']
Kevin,['We Met in Virtual Reality']
MooseStash,['We Met in Virtual Reality']
Scout,['We Met in Virtual Reality']
Roja,"['Mera Krodh', 'Golimar', 'Killadi']"
Bellamkonda Suresh,"['Mera Krodh', 'Golimar', 'Mera Badla - Revenge', 'Nagavalli', 'Dangerous Khiladi 4', 'Jabardasth', 'Kanchana 2', 'Alludu Seenu', 'The Super Khiladi 2']"
Sundar.C. Babu,"['Mera Krodh', 'Sindhu Samaveli']"
Ralf Wengenmayr,"['Love, Rosie']"
Jaime Winstone,"['Love, Rosie']"
Juliette Towhidi,"['Love, Rosie']"
Cecelia Ahern,"['Love, Rosie']"
Simon Brooks,"['Love, Rosie']"
Gemini Ryker,['181']
Reena Krishnan,['181']
Vijay Chanduru,"['181', 'Kidugu']"
Adharsh,['181']
Mohamad Issack,"['181', 'Nagesh Thiraiyarangam']"
P.B.S. Esa Ghugha,['181']
Mohamed Shameel J.,['181']
Steve Clark-Hall,"['द मैन फ्रॉम अं.क.ल', 'The Man from U.N.C.L.E.', 'King Arthur: Legend of the Sword']"
Lionel Wigram,"['द मैन फ्रॉम अं.क.ल', 'The Man from U.N.C.L.E.', 'King Arthur: Legend of the Sword', 'Fantastic Beasts and Where to Find Them', 'Fantastic Beasts: The Crimes of Grindelwald', 'फैंटास्टिक बीस्ट्स द सीक्रेट्स ऑफ़ डंबलडोर']"
Jeff Kleeman,"['द मैन फ्रॉम अं.क.ल', 'The Man from U.N.C.L.E.']"
David C. Wilson,"['द मैन फ्रॉम अं.क.ल', 'The Man from U.N.C.L.E.']"
Sam Rolfe,"['द मैन फ्रॉम अं.क.ल', 'The Man from U.N.C.L.E.']"
Kamaria King,['Lot Lizards']
Jason Anderson,['Lot Lizards']
Amika Carr,['Lot Lizards']
Latrice Franklin,['Lot Lizards']
Meagan Harper,['Lot Lizards']
Andrea Parker,['Lot Lizards']
Nina Holley,['Lot Lizards']
Jeff Horner,['Lot Lizards']
Ruby Jackson,['Lot Lizards']
Michael Brook,"['Tallulah', 'The Perks of Being a Wallflower', 'Hell', 'Brooklyn', 'Tigertail']"
Allison Janney,"['Tallulah', 'The Duff', 'The Way Way Back', 'Troop Zero', 'Lou', 'I, Tonya', 'Bad Education', 'The People We Hate at the Wedding']"
Tammy Blanchard,"['Tallulah', 'The Invitation', 'Fourplay']"
Evan Jonigkeit,"['Tallulah', 'The Night House']"
Russell Levine,"['Tallulah', 'Colossal']"
Heather Rae,"['Tallulah', 'Dude']"
Todd Traina,['Tallulah']
Jao Daniel Elamparo,['Palitan']
Cara Gonzales,"['Palitan', 'Hugas', 'Purificacion', 'Lawa']"
Luis Hontiveros,['Palitan']
Rash Flores,"['Palitan', 'Island of Desire', 'Pamasahe']"
Brillante Mendoza,"['Palitan', 'Kaliwaan', 'Pusoy', 'Virgin Forest', 'Alapaap', 'Bata pa si Sabel']"
Honeylyn Joy Alipio,['Palitan']
Diwa De Leon,['Palitan']
Krissann Barretto,['Amaris']
Kinshuk Vaidya,['Amaris']
Pushpendra Singh,"['Amaris', 'Lajwanti']"
Anusha Randhawa,['Amaris']
Amit k. Kaushik,"['Amaris', 'Ugramm']"
Abhinay Tangellapalli,['Jayamma Panchayathi']
Suma Kanakala,['Jayamma Panchayathi']
Shalini Kondepudi,['Jayamma Panchayathi']
Dinesh Kumar,"['Jayamma Panchayathi', 'Titu Ambani', 'पिटगोडा']"
Bonela Asirayya,['Jayamma Panchayathi']
Vijay Kumar Kalivarapu,['Jayamma Panchayathi']
Balaga Prakash,['Jayamma Panchayathi']
Anush Kumar,['Jayamma Panchayathi']
Rajat Barmecha,"['Udaan', 'Kacchey Limbu', 'Warrior Savitri']"
Bala Aditya,"['Maa Oori Polimera', 'Maa Oori Polimera']"
Anil Viswanath,"['Maa Oori Polimera', 'Maa Oori Polimera']"
Jagan Chavali,['Maa Oori Polimera']
K.S. Rajasekaran,['Maa Oori Polimera']
Arif Shahdoli,"['Kajri', 'Smile Hearts']"
Abha Parmar,"['Kajri', 'Ballavpur Ki Roopkatha']"
Rajni Mishra,['Kajri']
Paresh Masih,['Kajri']
Vijay Yadav,['Kajri']
Rakesh Ahluwalia,['Kajri']
Anup Joshi,['Kajri']
Sameer Malla,['Aardhika Saayam Kavalenu']
Tripti Sahu,['Aardhika Saayam Kavalenu']
Satya Verma,['Aardhika Saayam Kavalenu']
Raviraj Kandukuri,['Aardhika Saayam Kavalenu']
Partha Borgohain,['Aardhika Saayam Kavalenu']
Naveen Turuvekere,['Aardhika Saayam Kavalenu']
Annavarapu Srinivas,['Aardhika Saayam Kavalenu']
Shin'ichi Fushima,['My Small Land']
Lina Arashi,['My Small Land']
Takashi Fujii,['My Small Land']
Sei Hiraizumi,['My Small Land']
Chizuru Ikewaki,['My Small Land']
Emma Kawawada,['My Small Land']
Megumi Banse,['My Small Land']
Hiromi Morishige,['My Small Land']
Roth Bart Baron,['My Small Land']
Vijeesh Unni,['Pullu']
Reina Maria,['Pullu']
Santhosh Saras,['Pullu']
Anand Bbal,['Pullu']
Praveen Kelikkoden,['Pullu']
Riyaz Raz,['Pullu']
Vidhu Sankar,['Pullu']
Shabitha,['Pullu']
Agozie Uzo Ugwu,['Aki and Pawpaw']
Osita Iheme,['Aki and Pawpaw']
Chinedu Ikedieze,['Aki and Pawpaw']
Chioma Okafor,['Aki and Pawpaw']
Stan Nze,['Aki and Pawpaw']
Biodun Stephen,"['Aki and Pawpaw', 'Last Days']"
Ozioma Ogbaji,['Aki and Pawpaw']
Stephen Oluboyo,['Aki and Pawpaw']
Chaitali Chavan,"['स्टोरी ऑफ लागिर', 'Lallat']"
Sanjay Khapre,"['स्टोरी ऑफ लागिर', 'Sari', 'दगादी चाव्ल', 'Disco Sannya', 'बेभान']"
Roheet Rao Narsinge,"['स्टोरी ऑफ लागिर', 'Lallat']"
B.N. Meshram,['स्टोरी ऑफ लागिर']
Yamini Waghade,['स्टोरी ऑफ लागिर']
Mangesh Gadekar,"['स्टोरी ऑफ लागिर', 'Lallat']"
Anil Madansuri,['स्टोरी ऑफ लागिर']
Michael Selby,['Jane Dushman']
Ekachai Uekrongtham,"['Jane Dushman', 'Lost Lotteries']"
Steven Elder,"['Jane Dushman', 'Seized']"
Gabriel Dowrick,"['Jane Dushman', 'Terminus']"
Jeff Robinov,['Air']
Alex Convery,['Air']
Madison Ainley,['Air']
Peter Guber,['Air']
Shing-Fung Cheung,['The Curious Case of Dolphin Bay']
Izabela Rose,['The Curious Case of Dolphin Bay']
Jayden McGinlay,['The Curious Case of Dolphin Bay']
Allegra Teo,['The Curious Case of Dolphin Bay']
Ella Proberts,['The Curious Case of Dolphin Bay']
Jacob Stock,['The Curious Case of Dolphin Bay']
Shirish Saravanan,"['Blood Money', 'Metro']"
Sarjun,"['Blood Money', 'Echcharikkai', 'Airaa']"
Irfan Malik,['Blood Money']
Surya Rajeevan,['Blood Money']
London May,['Night of the Bastard']
Mya Hudson,['Night of the Bastard']
Hannah Pierce,['Night of the Bastard']
Henry Mortensen,['Night of the Bastard']
Erik Boccio,['Night of the Bastard']
Christian Ackerman,"['Night of the Bastard', 'Collide']"
Chuck Foster,['Night of the Bastard']
Jay Ruggieri,['Night of the Bastard']
Lane Young,['Night of the Bastard']
Jeremy King,"[""Scare Package II: Rad Chad's Revenge""]"
Zoe Graham,"[""Scare Package II: Rad Chad's Revenge""]"
Byron Brown,"[""Scare Package II: Rad Chad's Revenge"", 'The Love Inside']"
Rich Sommer,"[""Scare Package II: Rad Chad's Revenge""]"
Alexandra Barreto,"[""Scare Package II: Rad Chad's Revenge"", 'Too Late']"
Anthony Cousins,"[""Scare Package II: Rad Chad's Revenge"", 'Scare Package']"
Rachele Wiggins,"[""Scare Package II: Rad Chad's Revenge""]"
Ignacio Rey,['All Hail']
Peto Menahem,['All Hail']
Romina Fernándes,['All Hail']
Martín Seefeld,"['All Hail', 'At the End of the Tunnel']"
Fernando Balmayor,['All Hail']
Rocío Gort,['All Hail']
Martin Kweller,['All Hail']
Nanoka Hara,['Suzume no tojimari']
Eri Fukatsu,"['Suzume no tojimari', 'Parasyte: Part 1', 'Survival Family']"
Kôshirô Matsumoto,['Suzume no tojimari']
Makoto Shinkai,"['Suzume no tojimari', 'Children Who Chase Lost Voices', 'The Garden of Words', 'Your Name.', 'Weathering with You', 'Tumhaare Saath Apakshay']"
Kôichirô Itô,"['Suzume no tojimari', 'Children Who Chase Lost Voices', 'Your Name.', 'Weathering with You', 'Tumhaare Saath Apakshay']"
Kazuma Jinnouchi,['Suzume no tojimari']
Radwimps,['Suzume no tojimari']
Ketki Chadda,['Kaka Pardhan']
Jaspal Singh Barnala,['Kaka Pardhan']
Navkiran Bhatthal,"['Kaka Pardhan', 'Je Tere Naal Pyar Na Hunda']"
Naveen Jethi,"['Kaka Pardhan', 'Criminal']"
Prince Bhullar,['Kaka Pardhan']
Yashandra,['Rivaaz']
Meghna Naidu,['Rivaaz']
Sadhika Randhawa,['Rivaaz']
Ashok Nanda,"['Rivaaz', 'One Day: Justice Delivered']"
Reeg Deb,['Rivaaz']
Ratan Pasricha,['Rivaaz']
Rakesh Chandra Saroj,['Rivaaz']
Vijay Vijawat,['Rivaaz']
John Battsek,"['The Sound of 007', 'Sir Alex Ferguson: Never Give In', 'The Rescue']"
Rael Jones,"['The Sound of 007', 'My Cousin Rachel', 'Dazed in Doon']"
Paul Monaghan,['The Sound of 007']
Veeru Yadav,['Puli Vachindi Meka Chachindi']
Yogi Arthashastra,['Puli Vachindi Meka Chachindi']
T. Manu,['Puli Vachindi Meka Chachindi']
A. Sekhar Yadav,['Puli Vachindi Meka Chachindi']
Nathmika,['Puli Vachindi Meka Chachindi']
Rajesh Gunisetti,['Puli Vachindi Meka Chachindi']
Bhavani Shankar Kondoju,['Puli Vachindi Meka Chachindi']
Sudhakar Reddy Sagili,['Puli Vachindi Meka Chachindi']
Adam Scarth,"['The Strays', 'Mari']"
Ashley Madekwe,"['The Strays', 'County Lines']"
Bukky Bakray,['The Strays']
Jorden Myrie,['The Strays']
Samuel Paul Small,['The Strays']
Nathaniel Martello-White,['The Strays']
Valentina Brazzini,['The Strays']
Rob Watson,"['The Strays', 'The Power']"
Ramachandra Borcar,"['Kings of Coke', 'Multiverse']"
Dan Burke,['Kings of Coke']
David McGee,['Kings of Coke']
Kathy Dobson,['Kings of Coke']
D'Arcy O'Connor,['Kings of Coke']
Julian Sher,['Kings of Coke']
Nick Rose,['Kings of Coke']
Andre Barro,['Kings of Coke']
Annie Bourdeau,['Kings of Coke']
Michael Kronish,['Kings of Coke']
Michelle Elizabeth O'Shea,['Megaboa']
Emilia Torello,['Megaboa']
Joe Herrera,['Megaboa']
Mario N. Bonassin,['Megaboa']
Alex Heerman,['Megaboa']
Pranam Devaraj,['Vairam']
Monal Jagtani,['Vairam']
Garuda Ram,['Vairam']
Shatru,"['Vairam', 'Sivudu']"
Saisivan,['Vairam']
Jmk,['Vairam']
Vema Reddy,"['Vairam', 'Tadakha', 'Main Hoon Lucky', 'Main Hoon Lucky: The Racer', 'Lucky The Racer', 'Toofan', 'Dhruva', 'Khaidi No. 150', 'Sye Raa Narasimha Reddy']"
Samala Bhasker,"['Vairam', 'Ayyare', 'Yedyanchi Jatra', 'Grandhalayam']"
Sarathee,['Nenevaru']
Sakshi Chaudhary,"['Nenevaru', '100 Crores', 'Suvarna Sundari', 'Lady Gangster', 'सिद्धार्थ', 'Suvarna Sundari', 'रुस्तम', 'Iruttu', 'Qatil Saya']"
Nirnay Palanatee,['Nenevaru']
Siva Prasad Bhimineni,['Nenevaru']
Bheemineni Siva Prasad,['Nenevaru']
Rambabu Tanneru,['Nenevaru']
RadheGopee,['Nenevaru']
Alec Puro,"['The Art of Getting By', 'The First Time', 'Pimp']"
Freddie Highmore,"['The Art of Getting By', 'Almost Friends', 'Way Down']"
Sasha Spielberg,['The Art of Getting By']
Gavin Wiesen,['The Art of Getting By']
Darren Goldberg,"['The Art of Getting By', 'The Brass Teapot']"
Svetlana Cvetko,"['Inside Job', 'Show Me What You Got']"
Gylfi Zoega,['Inside Job']
Andri Snær Magnason,['Inside Job']
Sigridur Benediktsdottir,['Inside Job']
Charles Ferguson,['Inside Job']
Chad Beck,['Inside Job']
Adam Bolt,['Inside Job']
Audrey Marrs,['Inside Job']
Larry Charles,['The Dictator']
Alec Berg,['The Dictator']
David Mandel,['The Dictator']
Jeff Schaffer,['The Dictator']
Seth Numrich,['Curse of the Macbeths']
Taylor Roberts,['Curse of the Macbeths']
Devin Druid,"['Curse of the Macbeths', 'Cam']"
Vcuarts,['Curse of the Macbeths']
Adam Stynchula,['Curse of the Macbeths']
Olivia Maxwell,['Curse of the Macbeths']
Kevin McNally,['Curse of the Macbeths']
Wilbert Ross,"['Crush kong curly', 'Boy bastos', '5 in 1']"
Gina Pareño,['Crush kong curly']
Mateusz Schmidt,['How I Fell in Love with a Gangster']
Aleks Kurdzielewicz,['How I Fell in Love with a Gangster']
Antoni Królikowski,['How I Fell in Love with a Gangster']
Aleksander Milwiw-Baron,['How I Fell in Love with a Gangster']
Grzech Piotrowski,['How I Fell in Love with a Gangster']
Shujaat Hussain Khan,['Mr. Singh Mrs. Mehta']
Lucy Hassan,['Mr. Singh Mrs. Mehta']
Pravesh Bhardwaj,['Mr. Singh Mrs. Mehta']
Amitabh Verma,"['Mr. Singh Mrs. Mehta', 'Irudhi Suttru']"
Manu Kumaran,"['Mr. Singh Mrs. Mehta', 'That Is Mahalakshmi']"
Tutu Sharma,['Mr. Singh Mrs. Mehta']
Shaarang Dev,"['Mr. Singh Mrs. Mehta', 'रामायण: द एपिक']"
Tiffany Beaudin,['Stay the Night']
Joe Scarpellino,['Stay the Night']
Humberly González,"['Stay the Night', 'We']"
Renuka Jeyapalan,['Stay the Night']
Glenn Cockburn,['Stay the Night']
The Wilders,['Stay the Night']
Conor Fisher,['Stay the Night']
Mi-Joo Kim,['Bedevilled']
Yeong-hie Seo,['Bedevilled']
Seong-won Ji,['Bedevilled']
Min-ho Hwang,['Bedevilled']
Min Je,['Bedevilled']
Cheol-soo Jang,"['Bedevilled', 'Serve the People']"
Kwang-young Choi,['Bedevilled']
Kuy-young Park,['Bedevilled']
John K. Carr,['How to Train Your Dragon 2']
Bonnie Arnold,"['How to Train Your Dragon 2', 'How to Train Your Dragon: The Hidden World']"
Gil Zimmerman,"['How to Train Your Dragon 2', 'How to Train Your Dragon: The Hidden World']"
Tamer Hassan,['The Double']
Michael Brandt,"['The Double', 'Overdrive']"
Derek Haas,"['The Double', 'Overdrive']"
Patrick Aiello,"['The Double', 'As Above, So Below']"
Andrew Deane,"['The Double', 'The in Between']"
Fooi Mun Lai,['The Tiger Factory']
Pearlly Chua,['The Tiger Factory']
Susan Lee,['The Tiger Factory']
Rum Nun Chung,['The Tiger Factory']
Ming Jin Woo,['The Tiger Factory']
Edmund Yeo,['The Tiger Factory']
Wan Chun Hung,['The Tiger Factory']
Kenny Kuang Eng Chua,['The Tiger Factory']
Dan Mazeau,"['Wrath of the Titans', 'रैथ ऑफ द टाइटन्स', 'Fast X']"
Timur Dulatov,['Zere']
Dulyga Akmolda,"['Zere', 'Amanat']"
Berik Aytzhanov,"['Zere', 'Amanat']"
Adina Bazhan,['Zere']
Murat Bissenbin,['Zere']
Dauren Kamshibayev,['Zere']
Sabina Tussupova,['Zere']
Yerkebulan Kurishbayev,['Zere']
Duaren Shurayev,['Zere']
Dana Zulpykhar,['Zere']
Aasif Mandvi,"['Million Dollar Arm', 'The Internship', 'द इंटर्नशिप']"
Craig Gillespie,"['Million Dollar Arm', 'The Finest Hours', 'Cruella', 'I, Tonya']"
Mugen Rao,['Velan']
Kalaimagan Mubarak,['Velan']
Gopi Jagadesswaran,"['Velan', 'Kaalangalil Aval Vasantham', 'Hyper 2']"
K. Sarathkumar,['Velan']
Tom Taylor,"['The Dark Tower', 'Injustice', 'The Kid Who Would Be King']"
Dennis Haysbert,"['The Dark Tower', 'Naked', 'Secret Obsession']"
Francisco Ramos,"['Three Steps Above Heaven', 'I Want You']"
Marina Salas,"['Three Steps Above Heaven', 'I Want You', 'Por un puñado de besos', 'Sonata for Cello']"
Fernando González Molina,"['Three Steps Above Heaven', 'I Want You', 'Palm Trees in the Snow', 'The Invisible Guardian']"
Federico Moccia,"['Three Steps Above Heaven', 'I Want You']"
Ramón Salazar,"['Three Steps Above Heaven', '10,000 Nights Nowhere', 'I Want You']"
